Country.Region,alpha3,Long,Lat
Aruba,ABW,NA,NA
Afghanistan,AFG,65,33
Angola,AGO,NA,NA
"Anguilla, Leeward Islands",AIA,NA,NA
Åland Islands,ALA,NA,NA
Albania,ALB,20.1683,41.1533
Andorra,AND,1.5218,42.5063
United Arab Emirates,ARE,54,24
Argentina,ARG,-63.6167,-38.4161
Armenia,ARM,45.0382,40.0691
American Samoa,ASM,NA,NA
Antarctica,ATA,NA,NA
French Southern Territories (the),ATF,NA,NA
"Antigua and Barbuda, Leeward Islands",ATG,NA,NA
Australia,AUS,140.0609875,-23.1315375
Austria,AUT,14.5501,47.5162
Azerbaijan,AZE,47.5769,40.1431
Burundi,BDI,NA,NA
Belgium,BEL,4,50.8333
Benin,BEN,NA,NA
"Bonaire, Saint Eustatius and Saba",BES,NA,NA
Burkina Faso,BFA,-1.5616,12.2383
Bangladesh,BGD,90.3563,23.685
Bulgaria,BGR,25.4858,42.7339
Bahrain,BHR,50.55,26.0275
Bahamas,BHS,NA,NA
Bosnia and Herzegovina,BIH,17.6791,43.9159
Saint Barthelemy,BLM,NA,NA
Belarus,BLR,27.9534,53.7098
Belize,BLZ,NA,NA
Bermuda,BMU,NA,NA
Bolivia,BOL,-63.5887,-16.2902
Brazil,BRA,-51.9253,-14.235
Barbados,BRB,NA,NA
Brunei,BRN,114.7277,4.5353
Bhutan,BTN,90.4336,27.5142
Bouvet Island,BVT,NA,NA
Botswana,BWA,NA,NA
Central African Republic,CAF,NA,NA
Canada,CAN,-93.00628,50.795
Cocos (keeling) Islands,CCK,NA,NA
Switzerland,CHE,8.2275,46.8182
Chile,CHL,-71.543,-35.6751
Mainland China,CHN,111.64908181818181,32.828384848484845
Cote d'Ivoire,CIV,-5.5471,7.54
Cameroon,CMR,11.5021,3.848
Congo (Kinshasa),COD,21.7587,-4.0383
Congo,COG,NA,NA
Cook Islands,COK,NA,NA
Colombia,COL,-74.2973,4.5709
Comoros,COM,NA,NA
Cape Verde,CPV,NA,NA
Costa Rica,CRI,-83.7534,9.7489
Cruise Ship,cruise,139.638,35.4437
Cuba,CUB,-80,22
Curacao,CUW,NA,NA
"Christmas Island, Indian Ocean",CXR,NA,NA
Cayman Islands,CYM,NA,NA
Cyprus,CYP,33.4299,35.1264
Czech Republic,CZE,15.473,49.8175
Germany,DEU,9,51
Djibouti,DJI,NA,NA
Dominica,DMA,NA,NA
Denmark,DNK,1.2949999999999995,59.07825
Dominican Republic,DOM,-70.1627,18.7357
Algeria,DZA,1.6596,28.0339
Ecuador,ECU,-78.1834,-1.8312
Egypt,EGY,30,26
Eritrea,ERI,NA,NA
Western Sahara,ESH,NA,NA
Spain,ESP,-4,40
Estonia,EST,25.0136,58.5953
Ethiopia,ETH,NA,NA
Finland,FIN,26,64
Fiji,FJI,NA,NA
Falkland Islands,FLK,NA,NA
France,FRA,-41.22323333333333,27.399466666666665
Faroe Islands,FRO,NA,NA
Micronesia Federated States of,FSM,NA,NA
Gabon,GAB,NA,NA
UK,GBR,-3.718,46.96373333333334
Georgia,GEO,43.3569,42.3154
Guernsey,GGY,NA,NA
Channel Islands,GGY-JEY,NA,NA
Ghana,GHA,NA,NA
Gibraltar,GIB,NA,NA
Guinea,GIN,NA,NA
Guadeloupe,GLP,NA,NA
Gambia,GMB,NA,NA
Guinea-Bissau,GNB,NA,NA
Equatorial Guinea,GNQ,NA,NA
Greece,GRC,21.8243,39.0742
"Grenada, Windward Islands",GRD,NA,NA
Greenland,GRL,NA,NA
Guatemala,GTM,NA,NA
French Guiana,GUF,-53.1258,3.9339
Guam,GUM,NA,NA
Guyana,GUY,-58.75,5
Hong Kong SAR,HKG,NA,NA
Heard Island and McDonald Islands,HMD,NA,NA
Honduras,HND,-86.2419,15.2
Croatia,HRV,15.2,45.1
Haiti,HTI,NA,NA
Hungary,HUN,19.5033,47.1625
Indonesia,IDN,113.9213,-0.7893
Isle of Man,IMN,NA,NA
India,IND,78,21
British Indian Ocean Territory (the),IOT,NA,NA
Ireland,IRL,-7.6921,53.1424
Iran (Islamic Republic of),IRN,53,32
Iraq,IRQ,44,33
Iceland,ISL,-19.0208,64.9631
Israel,ISR,35,31
Italy,ITA,12,43
Jamaica,JAM,-77.2975,18.1096
Jersey,JEY,NA,NA
Jordan,JOR,36.51,31.24
Japan,JPN,138,36
Kazakhstan,KAZ,NA,NA
Kenya,KEN,NA,NA
Kyrgyzstan,KGZ,NA,NA
Cambodia,KHM,104.9167,11.55
Kiribati,KIR,NA,NA
"Saint Kitts and Nevis, Leeward Islands",KNA,NA,NA
Republic of Korea,KOR,128,36
Kuwait,KWT,47.75,29.5
Lao People's Democratic Republic,LAO,NA,NA
Lebanon,LBN,35.8623,33.8547
Liberia,LBR,NA,NA
Libya,LBY,NA,NA
Saint Lucia,LCA,NA,NA
Liechtenstein,LIE,9.55,47.14
Sri Lanka,LKA,81,7
Lesotho,LSO,NA,NA
Lithuania,LTU,23.8813,55.1694
Luxembourg,LUX,6.1296,49.8153
Latvia,LVA,24.6032,56.8796
Macao SAR,MAC,NA,NA
Saint Martin,MAF,NA,NA
Morocco,MAR,-7.0926,31.7917
Monaco,MCO,7.4167,43.7333
Republic of Moldova,MDA,28.3699,47.4116
Madagascar,MDG,NA,NA
Maldives,MDV,73.2207,3.2028
Mexico,MEX,-102.5528,23.6345
Marshall Islands,MHL,NA,NA
North Macedonia,MKD,21.7453,41.6086
Mali,MLI,NA,NA
Malta,MLT,14.3754,35.9375
Myanmar,MMR,NA,NA
Montenegro,MNE,NA,NA
Mongolia,MNG,103.8467,46.8625
Northern Mariana Islands,MNP,NA,NA
Mozambique,MOZ,NA,NA
Mauritania,MRT,NA,NA
"Montserrat, Leeward Islands",MSR,NA,NA
Martinique,MTQ,-61.0242,14.6415
Mauritius,MUS,NA,NA
Malawi,MWI,NA,NA
Malaysia,MYS,112.5,2.5
Mayotte,MYT,NA,NA
Namibia,NAM,NA,NA
New Caledonia,NCL,NA,NA
Niger,NER,NA,NA
Norfolk Island,NFK,NA,NA
Nigeria,NGA,8.6753,9.082
Nicaragua,NIC,NA,NA
Niue,NIU,NA,NA
Netherlands,NLD,5.2913,52.1326
Norway,NOR,8.4689,60.472
Nepal,NPL,84.25,28.1667
Nauru,NRU,NA,NA
New Zealand,NZL,174.886,-40.9006
Oman,OMN,57,21
Others,Others,NA,NA
Pakistan,PAK,69.3451,30.3753
Panama,PAN,-80.7821,8.538
Pitcairn,PCN,NA,NA
Peru,PER,-75.0152,-9.19
Philippines,PHL,122,13
Palau,PLW,NA,NA
Papua New Guinea,PNG,NA,NA
Poland,POL,19.1451,51.9194
Puerto Rico,PRI,NA,NA
Korea Democratic People's Republic of,PRK,NA,NA
Portugal,PRT,-8.2245,39.3999
Paraguay,PRY,-58.4438,-23.4425
occupied Palestinian territory,PSE,NA,NA
French Polynesia,PYF,NA,NA
Qatar,QAT,51.1839,25.3548
Reunion,REU,55.5364,-21.1151
Romania,ROU,24.9668,45.9432
Russian Federation,RUS,90,60
Rwanda,RWA,NA,NA
Saudi Arabia,SAU,45,24
Sudan,SDN,NA,NA
Senegal,SEN,-14.4524,14.4974
Singapore,SGP,103.8333,1.2833
South Georgia and the South Sandwich Islands,SGS,NA,NA
Saint Helena,SHN,NA,NA
Svalbard and Jan Mayen,SJM,NA,NA
Solomon Islands,SLB,NA,NA
Sierra Leone,SLE,NA,NA
El Salvador,SLV,NA,NA
San Marino,SMR,12.4578,43.9424
Somalia,SOM,NA,NA
Saint Pierre and Miquelon,SPM,NA,NA
Serbia,SRB,21.0059,44.0165
South Sudan,SSD,NA,NA
Sao Tome and Principe,STP,NA,NA
Suriname,SUR,NA,NA
Slovakia,SVK,19.699,48.669
Slovenia,SVN,14.9955,46.1512
Sweden,SWE,16,63
Eswatini,SWZ,NA,NA
St Maarten (dutch Part),SXM,NA,NA
Seychelles,SYC,NA,NA
Syrian Arab Republic,SYR,NA,NA
Turks and Caicos Islands,TCA,NA,NA
Chad,TCD,NA,NA
Togo,TGO,0.8248,8.6195
Thailand,THA,101,15
Tajikistan,TJK,NA,NA
Tokelau,TKL,NA,NA
Turkmenistan,TKM,NA,NA
Timor-leste,TLS,NA,NA
Tonga,TON,NA,NA
Trinidad and Tobago,TTO,NA,NA
Tunisia,TUN,9,34
Turkey,TUR,35.2433,38.9637
Tuvalu,TUV,NA,NA
Taipei and environs,TWN,121,23.7
Tanzania United Republic of,TZA,NA,NA
Uganda,UGA,NA,NA
Ukraine,UKR,31.1656,48.3794
United States Minor Outlying Islands (the),UMI,NA,NA
Uruguay,URY,NA,NA
US,USA,-94.14907777777778,38.88347448559671
Uzbekistan,UZB,NA,NA
Holy See,VAT,12.4534,41.9029
St Vincent and the Grenadines,VCT,NA,NA
Venezuela,VEN,NA,NA
"Virgin Islands, British",VGB,NA,NA
"Virgin Islands, US",VIR,NA,NA
Viet Nam,VNM,108,16
Vanuatu,VUT,NA,NA
Wallis and Futuna Islands,WLF,NA,NA
Samoa,WSM,NA,NA
Yemen,YEM,NA,NA
South Africa,ZAF,22.9375,-30.5595
Zambia,ZMB,NA,NA
Zimbabwe,ZWE,NA,NA
